序号,场所名称,检验检测场所地址,领域,类别,检测对象,参数,依据的标准（方法）名称及编号（含年号）,限制范围,说明
272,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,耐热和耐燃,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,不测：三相器具,
273,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,螺钉和连接,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
274,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,输入功率和电流,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,不测：三相器具,
275,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,非正常工作,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,不测：三相器具,
276,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,声音和电视广播接收机及有关设备,电源端骚扰电压测量,声音和电视广播接收机及有关设备无线电骚扰特性限值和测量方法GB/T 13837-2012,不测：三相器具,
277,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,外部和内部接线,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,,
278,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,接地规定,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,,
279,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,标记,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,,
280,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,爬电距离和电气间隙,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,,
281,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,结构,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,不测：6.1耐静负荷，6.2抗扭矩和剪力负荷，其他不测同 GB7000.1-2015,
282,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,绝缘电阻和电气强度,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,,
283,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,耐久性试验和热试验,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,不测：100cm×100cm×100cm以上的样品的耐久性试验,
284,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,耐热、耐火和耐电痕,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,,
285,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,防尘、防固体异物和防水,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
286,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,地面嵌入式灯具,防触电保护,灯具 第2-13部分:特殊要求 地面嵌入式灯具GB 7000.213-2008,,
287,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,内部布线,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
288,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,发热,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带、三相器具,
289,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,变压器和相关电路的过载保护,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带、三相器具,
290,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,外部导线用接线端子,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
291,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,对触及带电部件的防护,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
292,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带、三相器具,
293,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,接地措施,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
294,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,机械强度,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
295,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,标志和说明,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
296,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,泄漏电流和电气强度,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
297,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
298,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,电源连接和外部软线,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
299,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,稳定性和机械危险,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
300,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,结构,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
301,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,耐潮湿,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带、100cm×100cm×100cm以上的样品,
302,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,耐热和耐燃,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带、三相器具,
303,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,螺钉和连接,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带,
304,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,输入功率和电流,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带、三相器具,
305,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,按摩器具,非正常工作,家用和类似用途电器的安全 按摩器具的特殊要求GB 4706.10-2008,不测：打算用于坐着的人脚下的器具、按摩垫、按摩床、按摩带、三相器具,
306,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,内部布线,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
307,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,发热,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅、三相器具,
308,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,变压器和相关电路的过载保护,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅、三相器具,
309,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,外部导线用接线端子,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
310,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,对触及带电部件的防护,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
311,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅、三相器具,
312,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,接地措施,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
313,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,机械强度,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
314,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,标志和说明,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
315,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,泄漏电流和电气强度,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
316,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
317,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,电源连接和外部软线,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
318,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,稳定性和机械危险,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
319,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,结构,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
320,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,耐潮湿,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅、100cm×100cm×100cm以上的样品,
321,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,耐热和耐燃,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅、三相器具,
322,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,螺钉和连接,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅,
323,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,输入功率和电流,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测：三相器具,
324,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,液体加热器,非正常工作,家用和类似用途电器的安全 液体加热器的特殊要求GB 4706.19-2008,不测:压力锅、三相器具,
325,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,内部布线,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
326,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,发热,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品、三相器具,
327,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,变压器和相关电路的过载保护,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品、三相器具,
328,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,外部导线用接线端子,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
329,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,对触及带电部件的防护,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
330,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品、三相器具,
331,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,接地措施,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
332,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,机械强度,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
333,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,标志和说明,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
334,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,泄漏电流和电气强度,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
335,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
336,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,电源连接和外部软线,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
337,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,稳定性和机械危险,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
338,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,结构,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
339,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,耐潮湿,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品、100cm×100cm×100cm以上的样品,
340,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,耐热和耐燃,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品、三相器具,
341,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,螺钉和连接,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品,
342,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,输入功率和电流,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品、三相器具,
343,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,烤架、面包片烘烤器及类似用途便携式烹饪器具,非正常工作,家用和类似用途电器的安全 烤架、面包片烘烤器及类似用途便携式烹饪器具的特殊要求GB 4706.14-2008,不测：旋转烤架和灶头类产品、三相器具,
344,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,内部布线,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
345,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,发热,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,不测：三相器具,
346,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,变压器和相关电路的过载保护,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,不测：三相器具,
347,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,外部导线用接线端子,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
348,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,对触及带电部件的防护,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
349,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,不测：三相器具,
350,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,接地措施,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
351,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,机械强度,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,不测:21.102振动测试,
352,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,标志和说明,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
353,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,泄漏电流和电气强度,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
354,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
355,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,电源连接和外部软线,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
356,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,稳定性和机械危险,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
357,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,结构,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
358,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,耐潮湿,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,不测：100cm×100cm×100cm以上的样品,
359,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,耐热和耐燃,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,不测：三相器具,
360,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,螺钉和连接,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,,
361,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,输入功率和电流,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,不测：三相器具,
362,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,电池充电器,非正常工作,家用和类似用途电器的安全 电池充电器的特殊要求GB 4706.18-2014,不测：三相器具,
363,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,内部布线,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
364,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,发热,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具、三相器具,
365,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,变压器和相关电路的过载保护,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具、三相器具,
366,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,外部导线用接线端子,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
367,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,对触及带电部件的防护,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
368,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具、三相器具,
369,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,接地措施,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
370,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,机械强度,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
371,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,标志和说明,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
372,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,泄漏电流和电气强度,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
373,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
374,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,电源连接和外部软线,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
375,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,稳定性和机械危险,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
376,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,结构,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
377,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,耐潮湿,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具、100cm×100cm×100cm以上的样品,
378,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,耐热和耐燃,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具、三相器具,
379,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,螺钉和连接,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具,
380,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,输入功率和电流,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具、三相器具,
381,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,皮肤及毛发护理器具,非正常工作,家用和类似用途电器的安全 皮肤及毛发护理器具的特殊要求GB 4706.15-2008,不测：可拆卷发器的加热器、头盔式干发器、装有旋转连接器器具、三相器具,
382,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,不同极性间的绝缘进行短路,电玩具的安全GB 19865-2005,,
383,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,低功率电路,电玩具的安全GB 19865-2005,,
384,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,减免试验的原则,电玩具的安全GB 19865-2005,,
385,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,包装上标识的保留,电玩具的安全GB 19865-2005,,
386,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,双电源玩具的标识,电玩具的安全GB 19865-2005,,
387,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,发热和非正常工作,电玩具的安全GB 19865-2005,,
388,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,变压器玩具的标识,电玩具的安全GB 19865-2005,,
389,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,可拆卸灯的标识,电玩具的安全GB 19865-2005,,
390,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,堵住运动部件温升试验,电玩具的安全GB 19865-2005,,
391,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,工作温度下的电气强度,电玩具的安全GB 19865-2005,,
392,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,带可更换电池的电池玩具标识,电玩具的安全GB 19865-2005,,
393,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,总体要求,电玩具的安全GB 19865-2005,,
394,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,机械强度,电玩具的安全GB 19865-2005,,
395,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,标识和说明,电玩具的安全GB 19865-2005,,
396,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,标识的耐久性,电玩具的安全GB 19865-2005,,
